K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	53
82	48
83	53
84	53
85	47
86	49
87	67
88	53
89	60
90	56
91	43
92	55
93	51
94	56
95	50
96	44
97	67
98	41
99	55
100	58
101	58
102	44
103	35
104	49
105	39
106	42
107	54
108	39
109	56
110	41
111	52
112	55
113	62
114	52
115	44
116	57
117	41
118	54
119	49
120	48
121	40
122	47
123	71
124	41
125	46
126	52
127	51
128	58
129	57
130	53
131	49
132	60
133	42
134	64
135	42
136	45
137	47
138	49
139	47
140	43
141	52
142	57
143	60
144	55
145	50
146	52
147	49
148	37
149	44
150	41
151	47
152	49
153	59
154	57
155	47
156	43
157	55
158	53
159	50
160	54
161	42
162	51
163	53
164	47
165	55
166	57
167	45
168	50
169	63
170	61
171	45
172	43
173	53
174	52
175	37
176	45
177	51
178	58
179	49
180	41
181	38
182	41
183	51
184	44
185	37
186	43
187	58
188	49
189	55
190	50
191	37
192	47
193	60
194	55
195	42
196	41
197	46
198	45
199	43
200	58
201	42
202	51
203	42
204	37
205	55
206	44
207	49
208	39
209	49
210	54
211	60
212	54
213	41
214	49
215	44
216	47
217	53
218	59
219	45
220	49
221	38
222	48
223	40
224	52
225	55
226	39
227	45
228	51
229	64
230	44
231	37
232	45
233	47
234	53
235	53
236	37
237	42
238	47
239	39
240	64
241	58
242	48
243	40
244	51
245	48
246	45
247	37
248	44
249	49
250	45
251	38
252	47
253	46
254	56
255	55
256	48
257	54
258	47
259	57
260	52
261	48
262	46
263	63
264	76
265	45
266	57
267	58
268	52
269	48
270	44
271	48
272	52
273	49
274	48
275	48
276	48
277	40
278	43
279	60
280	62
