K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	17
82	16
83	11
84	9
85	12
86	12
87	11
88	7
89	10
90	11
91	13
92	10
93	14
94	11
95	10
96	9
97	11
98	9
99	4
100	7
101	8
102	10
103	5
104	11
105	8
106	12
107	10
108	9
109	2
110	16
111	12
112	8
113	6
114	11
115	15
116	9
117	13
118	7
119	7
120	7
121	4
122	13
123	10
124	13
125	6
126	5
127	11
128	8
129	13
130	6
131	5
132	12
133	8
134	13
135	10
136	15
137	9
138	14
139	14
140	13
141	19
142	8
143	13
144	13
145	12
146	10
147	17
148	9
149	14
150	12
151	13
152	16
153	9
154	3
155	10
156	12
157	8
158	8
159	17
160	19
161	13
162	12
163	17
164	7
165	5
166	6
167	9
168	9
169	11
170	7
171	10
172	11
173	10
174	12
175	7
176	10
177	14
178	10
179	9
180	13
181	8
182	5
183	7
184	9
185	11
186	9
187	11
188	12
189	6
190	10
191	13
192	9
193	13
194	9
195	5
196	11
197	7
198	8
199	15
200	7
201	12
202	8
203	6
204	10
205	12
206	14
207	4
208	6
209	13
210	11
211	15
212	8
213	20
214	14
215	16
216	14
217	15
218	13
219	16
220	12
221	8
222	10
223	16
224	12
225	9
226	9
227	8
228	14
229	10
230	8
231	17
232	11
233	6
234	17
235	15
236	11
237	9
238	9
239	14
240	16
241	19
242	16
243	12
244	17
245	12
246	7
247	10
248	15
249	14
250	10
251	12
252	17
253	14
254	10
255	20
256	17
257	13
258	13
259	15
260	13
261	17
262	12
263	13
264	15
265	24
266	15
267	24
268	19
269	14
270	18
271	15
272	20
273	12
274	16
275	17
276	27
277	19
278	26
279	9
280	17
