K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	11
82	9
83	14
84	11
85	9
86	11
87	18
88	14
89	6
90	10
91	12
92	12
93	12
94	6
95	7
96	15
97	4
98	7
99	6
100	19
101	4
102	18
103	6
104	13
105	13
106	8
107	12
108	8
109	14
110	17
111	9
112	8
113	4
114	12
115	9
116	9
117	9
118	8
119	10
120	10
121	10
122	7
123	8
124	7
125	7
126	11
127	10
128	8
129	11
130	14
131	7
132	12
133	7
134	11
135	15
136	9
137	7
138	12
139	15
140	17
141	16
142	10
143	8
144	14
145	12
146	7
147	16
148	9
149	13
150	16
151	17
152	14
153	8
154	12
155	10
156	9
157	8
158	14
159	18
160	13
161	9
162	6
163	6
164	10
165	15
166	12
167	18
168	16
169	8
170	11
171	7
172	11
173	10
174	9
175	13
176	6
177	11
178	5
179	11
180	11
181	8
182	14
183	11
184	8
185	9
186	11
187	8
188	7
189	6
190	12
191	9
192	7
193	6
194	9
195	6
196	8
197	6
198	11
199	18
200	12
201	8
202	13
203	8
204	13
205	4
206	6
207	8
208	10
209	11
210	9
211	9
212	8
213	6
214	8
215	4
216	9
217	9
218	6
219	8
220	13
221	11
222	9
223	10
224	11
225	10
226	10
227	3
228	9
229	7
230	9
231	7
232	15
233	10
234	14
235	13
236	12
237	8
238	9
239	10
240	6
241	9
242	8
243	12
244	5
245	13
246	12
247	8
248	10
249	8
250	5
251	8
252	9
253	6
254	14
255	9
256	10
257	13
258	10
259	11
260	12
261	5
262	11
263	7
264	9
265	15
266	7
267	9
268	9
269	16
270	16
271	10
272	8
273	12
274	16
275	7
276	10
277	17
278	13
279	9
280	12
