K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	1
82	3
83	3
84	4
85	2
86	0
87	3
88	2
89	2
90	1
91	3
92	3
93	1
94	2
95	3
96	4
97	5
98	3
99	0
100	4
101	5
102	1
103	1
104	2
105	2
106	7
107	2
108	3
109	2
110	5
111	2
112	3
113	8
114	3
115	3
116	1
117	4
118	3
119	2
120	6
121	5
122	7
123	6
124	4
125	3
126	2
127	2
128	4
129	2
130	4
131	1
132	2
133	7
134	2
135	4
136	6
137	2
138	2
139	6
140	6
141	0
142	4
143	7
144	2
145	4
146	2
147	2
148	2
149	3
150	6
151	3
152	4
153	6
154	6
155	3
156	5
157	2
158	4
159	7
160	1
161	2
162	1
163	4
164	4
165	5
166	5
167	3
168	3
169	2
170	5
171	2
172	3
173	5
174	4
175	4
176	4
177	4
178	2
179	4
180	1
181	1
182	2
183	2
184	4
185	1
186	4
187	1
188	3
189	4
190	3
191	1
192	2
193	4
194	1
195	3
196	2
197	4
198	3
199	3
200	5
201	2
202	3
203	3
204	2
205	9
206	7
207	1
208	5
209	0
210	2
211	7
212	3
213	4
214	3
215	3
216	2
217	1
218	2
219	4
220	4
221	5
222	3
223	5
224	8
225	4
226	7
227	3
228	6
229	4
230	2
231	2
232	3
233	9
234	3
235	3
236	4
237	2
238	2
239	2
240	2
241	5
242	4
243	4
244	6
245	2
246	5
247	2
248	5
249	3
250	2
251	3
252	2
253	2
254	4
255	5
256	5
257	4
258	3
259	5
260	3
261	2
262	5
263	9
264	6
265	8
266	4
267	5
268	3
269	4
270	6
271	4
272	3
273	8
274	7
275	8
276	6
277	7
278	5
279	2
280	3
