K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	5
83	1
84	1
85	2
86	5
87	3
88	5
89	4
90	5
91	6
92	2
93	2
94	6
95	5
96	6
97	5
98	1
99	4
100	1
101	4
102	1
103	2
104	3
105	1
106	0
107	1
108	4
109	0
110	4
111	5
112	1
113	4
114	7
115	3
116	1
117	0
118	6
119	4
120	1
121	2
122	5
123	7
124	2
125	4
126	0
127	1
128	4
129	3
130	5
131	6
132	3
133	2
134	5
135	3
136	2
137	5
138	3
139	3
140	1
141	5
142	6
143	2
144	5
145	4
146	1
147	2
148	4
149	2
150	3
151	1
152	4
153	6
154	5
155	1
156	3
157	9
158	3
159	3
160	3
161	2
162	1
163	5
164	5
165	1
166	2
167	2
168	5
169	2
170	5
171	4
172	3
173	4
174	3
175	0
176	3
177	2
178	2
179	5
180	6
181	1
182	4
183	2
184	4
185	3
186	3
187	3
188	5
189	4
190	4
191	1
192	3
193	1
194	4
195	4
196	2
197	2
198	3
199	4
200	4
201	3
202	1
203	3
204	6
205	2
206	1
207	1
208	1
209	3
210	3
211	2
212	5
213	2
214	2
215	3
216	4
217	4
218	5
219	4
220	2
221	6
222	2
223	3
224	2
225	6
226	3
227	2
228	2
229	1
230	7
231	8
232	1
233	2
234	2
235	3
236	5
237	2
238	0
239	0
240	7
241	5
242	2
243	3
244	4
245	2
246	3
247	4
248	3
249	0
250	6
251	5
252	4
253	4
254	5
255	4
256	3
257	2
258	3
259	0
260	6
261	3
262	6
263	4
264	5
265	3
266	5
267	5
268	4
269	6
270	6
271	2
272	5
273	4
274	9
275	2
276	9
277	5
278	3
279	4
280	9
