K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	99
82	90
83	89
84	105
85	81
86	105
87	91
88	94
89	115
90	88
91	98
92	95
93	90
94	123
95	125
96	102
97	109
98	142
99	121
100	104
101	103
102	120
103	108
104	128
105	134
106	120
107	120
108	124
109	109
110	134
111	145
112	144
113	131
114	136
115	147
116	137
117	108
118	145
119	138
120	125
121	139
122	131
123	134
124	147
125	137
126	132
127	128
128	120
129	129
130	139
131	128
132	125
133	122
134	99
135	119
136	99
137	110
138	97
139	106
140	85
141	94
142	113
143	93
144	97
145	108
146	86
147	99
148	84
149	76
150	96
151	96
152	86
153	81
154	95
155	82
156	76
157	81
158	80
159	78
160	71
161	94
162	81
163	91
164	78
165	69
166	77
167	80
168	77
169	78
170	65
171	69
172	67
173	97
174	77
175	78
176	82
177	70
178	107
179	77
180	97
181	79
182	90
183	89
184	92
185	81
186	77
187	77
188	87
189	83
190	73
191	87
192	81
193	83
194	105
195	106
196	101
197	75
198	90
199	93
200	98
201	97
202	91
203	93
204	102
205	75
206	82
207	117
208	122
209	111
210	100
211	104
212	103
213	97
214	123
215	93
216	95
217	99
218	132
219	96
220	98
221	115
222	116
223	129
224	114
225	104
226	120
227	116
228	124
229	127
230	145
231	137
232	156
233	146
234	142
235	134
236	163
237	138
238	164
239	133
240	146
241	174
242	177
243	154
244	165
245	176
246	157
247	177
248	198
249	202
250	215
251	217
252	228
253	236
254	213
255	232
256	251
257	249
258	283
259	272
260	297
261	303
262	322
263	325
264	399
265	398
266	419
267	405
268	457
269	493
270	502
271	563
272	613
273	680
274	636
275	772
276	783
277	819
278	840
279	954
280	1018
