K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	1162
82	1149
83	1121
84	1148
85	1190
86	1081
87	1100
88	1176
89	1099
90	1189
91	1153
92	1123
93	1122
94	1103
95	1166
96	1154
97	1129
98	1085
99	1080
100	1026
101	1018
102	1098
103	1134
104	1171
105	1210
106	1208
107	1156
108	1159
109	1158
110	1087
111	996
112	1006
113	951
114	947
115	929
116	904
117	903
118	821
119	832
120	801
121	792
122	777
123	713
124	748
125	681
126	701
127	631
128	664
129	647
130	688
131	600
132	625
133	590
134	569
135	562
136	540
137	551
138	547
139	546
140	508
141	536
142	546
143	512
144	502
145	490
146	566
147	508
148	496
149	409
150	471
151	498
152	495
153	501
154	472
155	444
156	458
157	461
158	422
159	477
160	421
161	422
162	444
163	387
164	464
165	385
166	460
167	397
168	416
169	418
170	426
171	396
172	409
173	425
174	422
175	399
176	390
177	417
178	400
179	424
180	451
181	460
182	509
183	507
184	459
185	487
186	542
187	535
188	569
189	567
190	572
191	571
192	570
193	560
194	548
195	596
196	556
197	617
198	606
199	672
200	587
201	587
202	563
203	638
204	618
205	621
206	643
207	639
208	616
209	620
210	648
211	650
212	598
213	603
214	646
215	644
216	592
217	616
218	614
219	664
220	618
221	607
222	631
223	620
224	598
225	619
226	641
227	609
228	668
229	652
230	662
231	623
232	624
233	634
234	626
235	639
236	611
237	607
238	639
239	621
240	583
241	581
242	670
243	669
244	628
245	657
246	679
247	661
248	608
249	609
250	641
251	599
252	614
253	589
254	604
255	654
256	634
257	655
258	653
259	666
260	648
261	656
262	627
263	660
264	614
265	639
266	684
267	658
268	646
269	645
270	663
271	698
272	634
