K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	50
82	34
83	40
84	44
85	52
86	42
87	48
88	43
89	50
90	38
91	48
92	37
93	50
94	58
95	47
96	47
97	44
98	50
99	53
100	34
101	53
102	41
103	37
104	35
105	33
106	38
107	38
108	44
109	40
110	44
111	46
112	49
113	54
114	57
115	42
116	53
117	64
118	59
119	65
120	55
121	56
122	64
123	74
124	79
125	81
126	90
127	73
128	88
129	83
130	97
131	100
132	80
133	90
134	97
135	111
136	67
137	100
138	76
139	71
140	72
141	73
142	72
143	63
144	55
145	51
146	50
147	57
148	46
149	38
150	50
151	38
152	62
153	32
154	40
155	37
156	42
157	38
158	34
159	26
160	33
161	33
162	32
163	35
164	29
165	33
166	32
167	23
168	39
169	38
170	29
171	27
172	31
173	39
174	36
175	41
176	39
177	38
178	39
179	29
180	45
181	34
182	36
183	43
184	25
185	36
186	39
187	49
188	47
189	39
190	42
191	52
192	40
193	43
194	46
195	46
196	37
197	46
198	44
199	33
200	42
201	43
202	49
203	37
204	42
205	33
206	41
207	32
208	33
209	28
210	35
211	33
212	38
213	29
214	34
215	31
216	25
217	37
218	28
219	28
220	32
221	21
222	29
223	25
224	35
225	33
226	29
227	27
228	28
229	40
230	20
231	29
232	22
233	21
234	33
235	24
236	34
237	31
238	24
239	26
240	25
241	26
242	30
243	38
244	23
245	26
246	27
247	19
248	36
249	38
250	32
251	22
252	24
253	29
254	32
255	25
256	32
257	29
258	31
259	26
260	29
261	27
262	30
263	31
264	30
265	29
266	27
267	31
268	28
269	35
270	31
271	29
272	37
273	41
274	36
275	34
276	22
277	29
278	37
279	37
280	41
