K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	3
82	3
83	2
84	6
85	4
86	4
87	2
88	2
89	3
90	2
91	2
92	7
93	6
94	2
95	1
96	6
97	4
98	2
99	4
100	4
101	2
102	1
103	1
104	2
105	3
106	3
107	3
108	1
109	2
110	4
111	2
112	2
113	2
114	3
115	3
116	1
117	1
118	8
119	2
120	6
121	3
122	5
123	4
124	2
125	6
126	0
127	4
128	7
129	5
130	7
131	2
132	4
133	6
134	4
135	3
136	1
137	3
138	4
139	4
140	5
141	4
142	1
143	1
144	2
145	1
146	6
147	4
148	8
149	3
150	6
151	2
152	6
153	4
154	3
155	5
156	4
157	2
158	4
159	3
160	3
161	3
162	8
163	2
164	1
165	2
166	8
167	1
168	2
169	4
170	3
171	3
172	3
173	1
174	1
175	3
176	2
177	3
178	6
179	2
180	2
181	4
182	3
183	3
184	3
185	1
186	4
187	7
188	1
189	5
190	1
191	3
192	3
193	4
194	2
195	2
196	1
197	2
198	5
199	4
200	3
201	2
202	5
203	4
204	1
205	3
206	4
207	2
208	2
209	5
210	3
211	8
212	2
213	6
214	5
215	3
216	1
217	4
218	3
219	7
220	6
221	4
222	1
223	2
224	3
225	4
226	2
227	6
228	2
229	1
230	1
231	1
232	3
233	3
234	1
235	5
236	3
237	2
238	4
239	5
240	2
241	4
242	3
243	3
244	0
245	3
246	3
247	4
248	3
249	3
250	1
251	3
252	4
253	1
254	4
255	6
256	4
257	5
258	3
259	7
260	1
261	1
262	6
263	5
264	2
265	3
266	2
267	0
268	9
269	2
270	3
271	6
272	3
273	7
274	3
275	4
276	4
277	5
278	4
279	5
280	5
