sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,00001	-0,0030000002589	0	0,002	0,122	100	1
point	ch1
0	38
1	39
2	38
3	39
4	38
5	39
6	38
7	39
8	39
9	38
10	38
11	40
12	39
13	40
14	40
15	39
16	38
17	40
18	39
19	40
20	40
21	39
22	39
23	41
24	40
25	41
26	40
27	39
28	39
29	40
30	39
31	40
32	40
33	41
34	40
35	42
36	42
37	44
38	44
39	53
40	55
41	72
42	75
43	101
44	113
45	96
46	89
47	46
48	45
49	43
50	42
51	40
52	40
53	40
54	40
55	39
56	40
57	39
58	40
59	39
60	40
61	39
62	39
63	40
64	39
65	40
66	40
67	39
68	39
69	40
70	40
71	40
72	40
73	41
74	41
75	42
76	41
77	43
78	43
79	46
80	47
81	54
82	55
83	70
84	72
85	97
86	101
87	136
88	139
89	117
90	109
91	58
92	56
93	45
94	45
95	42
96	42
97	41
98	42
99	40
100	41
101	40
102	40
103	40
104	40
105	40
106	40
107	40
108	40
109	40
110	40
111	40
112	40
113	38
114	39
115	38
116	39
117	38
118	39
119	38
120	38
121	39
122	39
123	38
124	38
125	40
126	40
127	38
128	38
129	40
130	38
131	40
132	39
133	40
134	39
135	40
136	40
137	39
138	40
139	39
140	40
141	39
142	39
143	40
144	40
145	39
146	40
147	40
148	40
149	41
150	40
151	41
152	41
153	39
154	39
155	40
156	40
157	40
158	40
159	41
160	40
161	43
162	43
163	47
164	48
165	58
166	60
167	80
168	82
169	111
170	113
171	75
172	69
173	44
174	44
175	41
176	41
177	40
178	40
179	39
180	40
181	40
182	40
183	39
184	40
185	40
186	40
187	40
188	40
189	41
190	40
191	41
192	40
193	42
194	41
195	43
196	43
197	47
198	48
199	59
200	61
201	84
202	89
203	129
204	136
205	111
206	103
207	54
208	52
209	44
210	43
211	41
212	41
213	40
214	40
215	41
216	39
217	41
218	40
219	41
220	40
221	40
222	40
223	39
224	39
225	40
226	40
227	38
228	39
229	39
230	39
231	39
232	39
233	39
234	39
235	39
236	38
237	40
238	40
239	39
240	40
241	38
242	39
243	40
244	40
245	39
246	39
247	40
248	40
249	39
250	40
251	39
252	40
253	39
254	40
255	39
256	39
257	42
258	41
259	38
260	40
261	41
262	41
263	40
264	41
265	40
266	41
267	39
268	40
269	39
270	40
271	41
272	41
273	40
274	40
275	43
276	44
277	46
278	47
279	57
280	57
281	74
282	78
283	106
284	106
285	89
286	86
287	59
288	58
289	44
290	43
291	41
292	41
293	40
294	39
295	41
296	40
297	39
298	49
299	35
300	39
301	40
302	41
303	43
304	40
305	47
306	50
307	43
308	40
309	72
310	78
311	101
312	89
313	101
314	100
315	91
316	98
317	54
318	48
319	52
320	50
321	48
322	51
323	45
324	44
325	41
326	42
327	40
328	41
329	40
330	40
331	41
332	40
333	40
334	40
335	40
336	40
337	41
338	40
339	41
340	41
341	40
342	40
343	42
344	40
345	41
346	39
347	40
348	40
349	39
350	39
351	40
352	40
353	39
354	40
355	39
356	39
357	41
358	40
359	39
360	39
361	40
362	39
363	39
364	39
365	39
366	39
367	39
368	40
369	38
370	38
371	40
372	38
373	40
374	40
375	38
376	39
377	39
378	39
379	40
380	39
381	40
382	40
383	42
384	40
385	40
386	40
387	40
388	40
389	40
390	40
391	40
392	40
393	41
394	41
395	44
396	43
397	57
398	59
399	89
400	92
401	97
402	97
403	116
404	109
405	82
406	79
407	64
408	60
409	51
410	50
411	44
412	42
413	43
414	42
415	41
416	41
417	40
418	40
419	42
420	39
421	41
422	40
423	40
424	40
425	39
426	39
427	40
428	40
429	39
430	40
431	39
432	41
433	39
434	41
435	42
436	42
437	49
438	50
439	78
440	79
441	85
442	86
443	94
444	89
445	67
446	64
447	49
448	49
449	44
450	45
451	42
452	42
453	41
454	41
455	40
456	40
457	40
458	40
459	40
460	40
461	39
462	40
463	39
464	41
465	40
466	40
467	41
468	40
469	39
470	40
471	39
472	40
473	39
474	39
475	40
476	40
477	39
478	39
479	40
480	39
481	40
482	40
483	39
484	39
485	39
486	39
487	39
488	39
489	38
490	39
491	38
492	39
493	38
494	39
495	38
496	38
497	40
498	38
499	39
500	38
501	39
502	38
503	39
504	38
505	39
506	38
507	39
508	39
509	39
510	41
511	39
512	40
513	40
514	40
515	39
516	40
517	40
518	40
519	40
520	40
521	41
522	40
523	41
524	41
525	43
526	44
527	55
528	57
529	82
530	85
531	93
532	92
533	114
534	115
535	99
536	93
537	79
538	78
539	53
540	54
541	47
542	46
543	43
544	42
545	43
546	42
547	41
548	41
549	40
550	40
551	40
552	40
553	40
554	40
555	39
556	40
557	39
558	40
559	39
560	39
561	40
562	39
563	40
564	40
565	41
566	40
567	43
568	43
569	54
570	57
571	76
572	77
573	92
574	96
575	87
576	83
577	61
578	60
579	48
580	48
581	42
582	42
583	40
584	41
585	40
586	39
587	41
588	39
589	40
590	39
591	40
592	39
593	40
594	40
595	40
596	40
597	39
598	40
599	39

