Ref	Proj	Pos	Pos	Pos	Diff	DAQ	Motor-	Fehler
 No	/ °	ROT	START	END	Enc	 No	LIN	ROT
---	---	---	---	---	---	---	---	---
  1	  0	  0	  0	100	  0	  0	Kein Fehler	   
  1	  0	707	100	10920	  0	629	Kein Fehler	Kein Fehler
  1	  2	8565	10920	102	 -2	725	Kein Fehler	Kein Fehler
  1	  4	10462	102	10920	  2	633	Kein Fehler	Kein Fehler
  1	  6	12264	10920	102	 -2	673	Kein Fehler	Kein Fehler
  1	  8	14053	102	10920	  2	717	Kein Fehler	Kein Fehler
  1	 10	15959	10920	102	 -2	677	Kein Fehler	Kein Fehler
  1	 12	17647	102	10920	  2	659	Kein Fehler	Kein Fehler
  1	 14	19347	10920	102	 -2	629	Kein Fehler	Kein Fehler
  1	 16	21742	102	10920	  2	631	Kein Fehler	Kein Fehler
  1	 18	23391	10920	102	 -2	707	Kein Fehler	Kein Fehler
  1	 20	25672	102	10920	  2	685	Kein Fehler	Kein Fehler
  1	 22	27381	10920	102	 -2	697	Kein Fehler	Kein Fehler
  1	 24	30067	102	10920	  2	741	Kein Fehler	Kein Fehler
  1	 26	32363	10920	102	 -2	755	Kein Fehler	Kein Fehler
  1	 28	35092	102	10920	  2	765	Kein Fehler	Kein Fehler
  1	 30	37400	10920	102	 -2	835	Kein Fehler	Kein Fehler
  1	 32	39526	102	10920	  2	967	Kein Fehler	Kein Fehler
  1	 34	42598	10920	102	 -2	945	Kein Fehler	Kein Fehler
  1	 36	44945	102	10920	  2	1089	Kein Fehler	Kein Fehler
  1	 38	47671	10920	102	 -2	1083	Kein Fehler	Kein Fehler
  1	 40	50883	102	10920	  2	1099	Kein Fehler	Kein Fehler
  1	 42	54250	10920	102	 -2	1161	Kein Fehler	Kein Fehler
  1	 44	57041	102	10920	  2	1173	Kein Fehler	Kein Fehler
  1	 46	60298	10920	102	 -2	1171	Kein Fehler	Kein Fehler
  1	 48	63174	102	10920	  2	1181	Kein Fehler	Kein Fehler
  1	 50	67280	10920	102	 -2	1101	Kein Fehler	Kein Fehler
  1	 52	69962	102	10920	  2	1153	Kein Fehler	Kein Fehler
  1	 54	73132	10920	102	 -2	1147	Kein Fehler	Kein Fehler
  1	 56	76341	102	10920	  2	1065	Kein Fehler	Kein Fehler
  1	 58	78937	10920	102	 -2	1175	Kein Fehler	Kein Fehler
  1	 60	82394	102	10920	  2	1103	Kein Fehler	Kein Fehler
  1	 62	85983	10920	102	 -2	1181	Kein Fehler	Kein Fehler
  1	 64	89199	102	10920	  2	1121	Kein Fehler	Kein Fehler
  1	 66	92848	10920	102	 -2	1037	Kein Fehler	Kein Fehler
  1	 68	96310	102	10920	  2	1085	Kein Fehler	Kein Fehler
  1	 70	99248	10920	102	 -2	1065	Kein Fehler	Kein Fehler
  1	 72	102155	102	10920	  2	895	Kein Fehler	Kein Fehler
  1	 74	104357	10920	102	 -2	787	Kein Fehler	Kein Fehler
  1	 76	106287	102	10920	  2	741	Kein Fehler	Kein Fehler
  1	 78	108497	10920	102	 -2	621	Kein Fehler	Kein Fehler
  1	 80	110054	102	10920	  2	623	Kein Fehler	Kein Fehler
  1	 82	112175	10920	102	 -2	605	Kein Fehler	Kein Fehler
  1	 84	113724	102	10920	  2	569	Kein Fehler	Kein Fehler
  1	 86	115239	10920	102	 -2	565	Kein Fehler	Kein Fehler
  1	 88	116685	102	10920	  2	503	Kein Fehler	Kein Fehler
  1	 90	118486	10920	102	 -2	535	Kein Fehler	Kein Fehler
  1	 92	119870	102	10920	  2	523	Kein Fehler	Kein Fehler
  1	 94	121238	10920	102	 -2	511	Kein Fehler	Kein Fehler
  1	 96	122507	102	10920	  2	473	Kein Fehler	Kein Fehler
  1	 98	123720	10920	102	 -2	461	Kein Fehler	Kein Fehler
  1	100	125574	102	10920	  2	515	Kein Fehler	Kein Fehler
  1	102	126940	10920	102	 -2	485	Kein Fehler	Kein Fehler
  1	104	128148	102	10920	  2	527	Kein Fehler	Kein Fehler
  1	106	130070	10920	102	 -2	505	Kein Fehler	Kein Fehler
  1	108	131380	102	10920	  2	559	Kein Fehler	Kein Fehler
  1	110	133227	10920	102	 -2	573	Kein Fehler	Kein Fehler
  1	112	134687	102	10920	  2	563	Kein Fehler	Kein Fehler
  1	114	136092	10920	102	 -2	607	Kein Fehler	Kein Fehler
  1	116	137774	102	10920	  2	601	Kein Fehler	Kein Fehler
  1	118	139322	10920	102	 -2	681	Kein Fehler	Kein Fehler
  1	120	141379	102	10920	  2	735	Kein Fehler	Kein Fehler
  1	122	144341	10920	102	 -2	867	Kein Fehler	Kein Fehler
  1	124	146899	102	10920	  2	949	Kein Fehler	Kein Fehler
  1	126	149155	10920	102	 -2	1033	Kein Fehler	Kein Fehler
  1	128	151721	102	10920	  2	1065	Kein Fehler	Kein Fehler
  1	130	154357	10920	102	 -2	1055	Kein Fehler	Kein Fehler
  1	132	157361	102	10920	  2	1145	Kein Fehler	Kein Fehler
  1	134	161249	10920	102	 -2	1127	Kein Fehler	Kein Fehler
  1	136	164039	102	10920	  2	1139	Kein Fehler	Kein Fehler
  1	138	167389	10920	102	 -2	1197	Kein Fehler	Kein Fehler
  1	140	170775	102	10920	  2	1093	Kein Fehler	Kein Fehler
  1	142	174292	10920	102	 -2	1125	Kein Fehler	Kein Fehler
  1	144	177570	102	10920	  2	1153	Kein Fehler	Kein Fehler
  1	146	180338	10920	102	 -2	1133	Kein Fehler	Kein Fehler
  1	148	183436	102	10920	  2	1119	Kein Fehler	Kein Fehler
  1	150	186513	10920	102	 -2	1229	Kein Fehler	Kein Fehler
  1	152	190420	102	10921	  1	1111	Kein Fehler	Kein Fehler
  1	154	193467	10921	103	 -2	1179	Kein Fehler	Kein Fehler
  1	156	196759	103	10921	  2	1135	Kein Fehler	Kein Fehler
  1	158	199974	10921	103	 -2	1041	Kein Fehler	Kein Fehler
  1	160	202901	103	10921	  2	1045	Kein Fehler	Kein Fehler
  1	162	205491	10921	103	 -2	1005	Kein Fehler	Kein Fehler
  1	164	207963	103	10921	  2	877	Kein Fehler	Kein Fehler
  1	166	210131	10921	103	 -2	789	Kein Fehler	Kein Fehler
  1	168	212969	103	10921	  2	729	Kein Fehler	Kein Fehler
  1	170	214855	10921	103	 -2	703	Kein Fehler	Kein Fehler
  1	172	217509	103	10921	  2	707	Kein Fehler	Kein Fehler
  1	174	219320	10921	103	 -2	677	Kein Fehler	Kein Fehler
  1	176	221431	103	10921	  2	691	Kein Fehler	Kein Fehler
  1	178	223180	10921	103	 -2	667	Kein Fehler	Kein Fehler
C:\PET-Messungen\2020-01-10_13-35\Scans

Soll: v_Fahrt: 12,00 mm/s -- Fahrweg: 20 BIN
Ist:  v_Fahrt: 12,00 mm/s -- Fahrweg: 67,62 mm
